,row,output,mse,is_alpha_credible,log_lik,c_mean,c_var,post_mean,cost,status,post_var,y_test,ls_dim_1,ls_dim_2,ls_dim_3,ls_dim_4
54,9,f_1,0.8412493116788703,1.0,-1.5174371770997426,419.57151786452056,2436590.4898980297,1.8402973576904174,121.21804832614322,Converged,2.293938583228737,2.7574937988516717,23.12069175695898,80.65098764973249,193.45142312175133,77.06807118628417
55,9,f_2,123.89327716439999,1.0,-3.9411170643623414,143.99875611816196,73761.76117517926,11.145587880263975,197.77008795891058,Converged,263.5599201463483,0.014852182907757153,3.4723351219073444,11.175793541195373,11.632051932728405,83774.86751099252
56,9,g_1,36.816422071083,1.0,-3.6480071645134884,13582.897258923771,529.4577531277705,13597.31126301411,148.98655441523798,Converged,194.12064220517055,13591.243609260715,2.8274895587842916,7.1037677110796755,1926.4671170249144,0.983755507444436
57,9,g_2,1139.6196689619705,1.0,-7.519227384605961,28361.91306926872,5455160.802184008,29932.781079623506,339.6415448100829,Converged,539536.3736928664,29966.539332969347,4.323043881913778,5.2299839821791965,1.6784011788143258,94517.76346816849
58,9,g_3,7.148421368284001e-16,1.0,10.562914751718257,9.2873139096803,6214.470760193592,-0.8354957984381386,-252.6675973744301,Converged,1.064108801074326e-10,-0.8354958251746705,953.6427611953254,24393.52348922977,24813.431300806136,869.1088017032869
59,9,g_4,5690098057.780238,1.0,-14.310812474374135,8493607.117075454,130840934823800.44,71190.92746157572,583.7954618906527,Converged,422853428476.7969,-4241.811172125217,54701.51833799381,65434.408642537295,11.437942875404222,3.1826490997452934
60,10,f_1,12.670566094244435,1.0,-2.7041781885836844,334.33287803535376,1746348.2706766003,184.34721313938525,120.05777547353168,Converged,9.968914160039276,187.90678700352186,21.475622066022503,74.02391025324668,182.73498578342696,71.37286006410952
61,10,f_2,91.67251472601615,1.0,-4.289910757081404,140.0532372738518,71003.25221712184,17.38530998810907,197.41725126682695,Converged,749.6935000218509,7.8107335104774815,3.5001786376529616,11.069441853504806,11.155103297826948,495019.0369024194
62,10,g_1,26.20968735606888,1.0,-3.414546089468537,13581.62232278215,518.7964897431352,13594.018943487708,149.21195762677849,Converged,117.75966387378418,13599.138483247889,2.776829151822579,7.020874886487711,1563.3069721470022,0.9842838862621799
63,10,g_2,85644.55296256655,1.0,-7.949020051960383,28091.167593806837,5418623.220232842,28461.243195729374,341.4457229172091,Converged,1188371.1915933732,28168.592289421933,1.5684698165824866,4.409542856236113,4.071685647334416,153135.59822820796
64,10,g_3,5.1635809835515846e-11,1.0,9.94726730553737,55.52805670545728,7715.221218771525,-4.734286313789774,-286.85151734412324,Errorb'ABNORMAL_TERMINATION_IN_LNSRCH',3.0831870390102267e-10,-4.7342934995959105,637.9634265057393,74833.95490450546,85215.41508850723,783.0123552290385
65,10,g_4,16722071247.500515,1.0,-14.46337073129218,8493621.897070967,130840682701864.16,124493.51308044046,583.6424362020233,Converged,564520578856.9062,-4820.334776239282,147154.75392256875,173068.2210208804,11.495208913212128,3.171587218129705
66,11,f_1,12.984848039598205,1.0,-2.991933171561321,480.6555410410513,2658053.644752278,55.6540257737218,119.80505675854486,Converged,5.199150971136987,52.05057630972231,23.50220585003814,82.33742570068743,197.9854611091388,84.99194456013797
67,11,f_2,446.7728027397064,1.0,-4.614564313013279,128.63566645664093,75764.37835319227,-21.135351315823414,197.09696688841092,Converged,1066.8653708965867,0.0016494822961338315,3.527336612719943,11.223744478189998,11.647995990038718,42406.42311266193
68,11,g_1,41.488538251986,1.0,-3.4166649098048856,13581.666051179798,516.7983817157808,13592.530457965204,149.2327774124716,Converged,95.81952734625315,13598.971617662959,2.8468561665175955,6.761568091782231,1903.5595961815252,0.9904940961527244
69,11,g_2,82654.7342288561,1.0,-8.126826655483569,28331.291997580214,5454331.969069136,29708.91654532362,339.0335143600984,Converged,1737951.2338455399,29996.413909187806,4.321293326861863,5.228715021020028,1.6854200093085012,35193.68407792103
70,11,g_3,2.7537913547857303e-13,0.0,,15.59248641977694,6557.196176307518,-0.2442341064414748,-277.7021981423282,Errorb'ABNORMAL_TERMINATION_IN_LNSRCH',0.0,-0.24423358167568374,663.0482228140276,38014.71411827889,43804.032429876694,733.8175965438007
71,11,g_4,207640345.0044584,1.0,-12.183478579051414,8449304.403554486,131515392190843.4,1738005.8169183303,585.8580965352385,Converged,5873569917.265625,1723596.0860046574,917781.6956419561,1058180.6050792455,11.42060880528634,3.1908877202957053
72,12,f_1,0.034499321603482944,1.0,-0.5430610831713795,382.7230053163924,2138649.348826864,39.88725042796915,122.2029374769676,Converged,0.4356361641548574,40.0729903579882,22.300043765508136,77.78966005188653,185.48461007704984,75.98299982755468
73,12,f_2,41.90916707814882,1.0,-3.9612207625597367,140.44493857549614,71363.9548122082,-6.471946465989191,197.74141079350358,Converged,394.81424270283605,0.0017825272687767512,3.488333834993064,11.443530604998339,10.86906439036061,79025.47663875642
74,12,g_1,36.75681630582816,1.0,-3.2289884563731466,13583.715131687562,465.79653343445773,13592.549944803037,149.40413254456598,Converged,44.14022705272379,13598.61268480289,2.583333130921527,7.059114005264325,980.6839019774208,0.931548039452642
75,12,g_2,2012.8183587561807,1.0,-7.7021911341947975,28353.964210073278,5454334.220972095,30041.19426541555,339.466463182558,Converged,777560.3721458875,29996.329821155578,4.25367206185953,5.17926737784896,1.6936418426324373,93474.25244717141
76,12,g_3,1.816790750621991e-14,1.0,11.9030358180571,-99.10390745167668,4842.207498661874,-0.38271938328678345,-257.80415631713396,Converged,7.275957614183426e-12,-0.382719248498403,638.0997945516859,25778.985050085183,29492.899691481427,767.7738841630642
77,12,g_4,1465865437.7772043,1.0,-12.721878923892564,8438303.924127555,131658515630756.6,2114302.8795209136,585.311489671118,Converged,16327234774.90625,2152589.501698604,779391.7940825068,929340.6119784649,11.296727017684626,3.2235806553816215
78,13,f_1,0.15664905493575787,1.0,-1.0267088896188306,385.2413332134264,2122274.8604587708,11.81330704758409,121.71765395015895,Converged,1.0718578905798495,11.417517892937632,22.292192097746522,77.7997456295435,191.10212823333745,73.41422664467333
79,13,f_2,9230.59337795191,0.0,-18.346142119414434,239.5156374392781,232470.76902226554,96.11474071719104,189.05503320612831,Converged,317.26047844658024,0.0387636055742732,5.14598073593566,32.317833065686436,11.206904086248322,493901.7196475114
