file,output,best method(s),minimum cost
weldedbeamdesign_3d.csv,g_1,"['gpy_mle0012', 'gpy_mle0016']",42.2803202221238
weldedbeamdesign_3d.csv,g_2,"['gpy_mle0032', 'gpy_mle0132']",69.4523159954006
weldedbeamdesign_3d.csv,g_3,"['gpy_mle0033', 'gpy_mle0133']",-59.5741256690935
weldedbeamdesign_3d.csv,g_4,"['gpy_mle0032', 'gpy_mle0132']",196.871511635043
weldedbeamdesign_5d.csv,f_1,"['gpy_mle0032', 'gpy_mle0132']",82.0892115945696
weldedbeamdesign_5d.csv,f_2,['gpy_mle0031'],51.2945293086259
weldedbeamdesign_5d.csv,g_1,"['gpy_mle0032', 'gpy_mle0132']",84.2841487073721
weldedbeamdesign_5d.csv,g_2,['gpy_mle0132'],133.513224668657
weldedbeamdesign_5d.csv,g_3,['gpy_mle1132'],-133.347372595972
weldedbeamdesign_5d.csv,g_4,"['gpy_mle0032', 'gpy_mle0132']",313.973595668411
