,row,output,mse,is_alpha_credible,log_lik,c_mean,c_var,post_mean,cost,status,post_var,y_test,ls_dim_1,ls_dim_2,ls_dim_3,ls_dim_4,ls_dim_5,ls_dim_6,ls_dim_7,ls_dim_8
0,0,g_4,0.09044955776355791,1.0,-2.883906759968278,-7.405409966684076,124.5654194433836,-14.929838463737473,130.95166680412925,Converged,50.81321270564146,-14.629090134126887,13418983.885515435,84288853532.58705,18448192003.55394,84357927.21597637,4038866617.776806,87.59550164321497,298.53571623052756,51757408.05124573
1,0,g_5,323.1469821330313,0.0,-13.732222151478718,-2.0339677456047234,319.71495181745297,30.831834572282236,119.27226757775402,Converged,14.060123786624331,12.855545129434715,179389125830.05225,14433.682998246106,577161106533.9044,1279.8293665147016,20158621957.183296,152312762496.89658,198.30824134321364,9170.967394276113
2,0,g_6,1.534502805083395,1.0,-2.6135815297498253,2.1696648236645917,188.0137771106144,14.20092515903847,128.10450768704277,Converged,28.067553336374914,15.439675660585651,45320.82581202171,366941031506.8772,4464.486206848116,26062474551.769527,926.5918603196078,8602682841.652472,4690985489.8453455,193.02788909341908
3,1,g_4,56.96951063225531,1.0,-3.502098871243113,-6.320662077545075,111.59641464430204,-4.914318878346743,130.58647631763537,Converged,35.98053084633091,-12.462133835819886,5491.7969694346175,26038665.50965094,56793642.63799202,892611.2290119118,9900990.16930998,115.61257007217726,393.9554613722404,495310.3155650037
4,1,g_5,1.6880134181570017,1.0,-1.9921641652710431,-2.6619434172045366,161.53941792728,-14.301240656996885,124.20218049511976,Converged,6.632171707552743,-13.002004951608136,7092846729.924474,8483.559310854687,246554713317.91165,610.5087221625744,109718635905.0553,13517823.222010491,176.49237663424879,44176504.21714723
5,1,g_6,117.01478917170662,0.0,-6.136954555626284,-0.7525317877259816,185.21791860801935,0.8365329945790201,126.37543235570165,Converged,15.162893246491052,-9.980804439915044,1310650336.321561,5620872336.694637,13247.009971042406,189573114.61339203,829.3756298199401,22820713781.654022,15837010.44663549,110.55549392734198
6,2,g_4,174.9767516702442,1.0,-4.22476932955208,-7.02055854276991,103.97794805608441,-2.0210974253361194,130.05985234936475,Converged,77.27789222194758,11.206780396531007,4992.270011463176,2676885103.845147,10634470709332.117,2936469.359156,272637648239.12543,121.26450949773803,350.384303218547,12972891524.31937
7,2,g_5,30.891516208798787,1.0,-3.211956226420818,-1.8685438810897996,175.55062003371685,18.925356105260246,123.01236939097718,Converged,57.127862618795035,13.36734241251004,7077580073519.307,8570.061598961744,7661517437307.004,613.5461014712664,14663121555689.31,26202710.02994804,190.48601631762372,515965821.7224153
8,2,g_6,0.3229541567607832,1.0,-2.587108411469913,1.2849078395609705,170.664733569485,14.930246992785849,128.41099250689476,Converged,27.791188702308034,14.361956436150615,3984450.316706541,26713335.024602525,5179.357527816529,2865657.6802347526,867.4730072411111,11698325.285971873,2034025.080406006,147.61253416219466
9,3,g_4,8.342623238029518,1.0,-2.6692225435486407,-7.2008989064060716,125.0668857533144,-12.743102588456974,131.16017202293034,Converged,23.084919627008432,-15.631462544907956,240165303.15318167,5370795797.63705,11520588030.174932,46637674.55893325,3239929995.262374,89.07855539237092,297.59448527921006,10851738.91103307
10,3,g_5,1.384944863657257,1.0,-2.0271098351619985,-2.719721003473107,171.60082155775572,-15.50713976314341,124.48437652124458,Converged,7.655591415037321,-14.330302958969927,174736666.03403547,9534.698158690762,74672615.62498322,713.5402064630822,30710321.728281606,2693.46182778157,194.92720199701552,4344.888136627843
11,3,g_6,0.300208962971307,1.0,-2.399212350849019,2.213520107666991,186.6988666946888,-14.38104589612059,128.3186535065932,Converged,19.005950425021354,-13.833132615599569,47620.39329033369,224051227.43752256,4241.650824747215,15146146.617990004,944.4349499220219,49533761.182989895,4324510.590800022,196.06936749151743
12,4,g_4,1.6737460670887818,1.0,-2.7142984150589293,-7.35537325603744,124.18685721831154,-13.027362994252282,131.1205453246723,Converged,34.54520911890813,-14.321096377561526,24505656.289343532,842108685.853913,4226554870.3026805,11806844.30677996,329485258.5365155,88.37437225847441,294.14496447736644,8494206.320208283
13,4,g_5,30.726080135113456,1.0,-3.202729565106295,-3.9363211513486394,185.6481106346492,-20.28639696889063,123.11760953348266,Converged,18.819024193652893,-14.743285916862767,11056353408414.312,8478.024562248673,47310414796485.72,679.9342879512383,160476322372656.56,2370184.985203222,193.18063571904676,2676693552.2013607
14,4,g_6,65.78850666301454,1.0,-3.751335791062916,1.458983992810989,196.84455876365507,6.34616663472865,127.23735883157383,Converged,28.358907844895526,14.457178079857707,44973.93662742008,2162942847.144522,4115.722032991925,120444490.1942295,863.9638812212913,283207568.59616673,16671912.62214141,242.6971649136198
15,5,g_4,355.8822248903163,0.0,-44.64468701712781,-1.9460763841272608,235.4094218253559,6.916779190659957,128.00857935009313,Converged,4.136644855381178,-11.948061781113866,3940.200810787523,4311231547115195.0,4311231547115195.0,41048889266.74118,4311231547115195.0,150.07882841400306,5421359.444500657,1284801845349.763
16,5,g_5,43.614670735930545,0.0,-4.915415095607003,-3.41452721012123,180.54498743145857,-4.7492409646163924,122.56010292922448,Converged,7.2555913120880575,-11.35338138831504,42614.20186950115,11301.021911107588,6446316910.194396,684.092778765675,1499148642.3777215,12131828.613858676,186.4578496704298,340928118.89019316
17,5,g_6,0.4868241770326978,1.0,-2.2875585314586093,2.3231887032951066,186.08997105035115,-13.391933187904701,128.4333685301604,Converged,14.949462339125603,-14.089661055366435,45407.375161492215,80736706.59570207,4173.773180687986,7048713.62686306,930.4489783365816,25717139.437564965,3284010.1336531346,201.0874806418022
18,6,g_4,0.03858788378222534,1.0,-1.993565928472929,-7.377824470666615,121.13281165457215,-15.875694679765944,131.86236115141844,Converged,8.53978806576734,-15.679256690104511,13095623.721713662,2784930852.8566184,1122116947.5280678,2697609.719075263,225552548.52801633,84.95695228919874,298.01637255959315,936984.4962312841
19,6,g_5,10.700639073205842,1.0,-2.6575294839415666,-3.2100847122393588,169.0859471287158,-11.337461997714552,123.5547124890436,Converged,6.965781316246051,-14.608645128205085,4311231547115195.0,8396.82172938687,4311231547115195.0,651.1899397368555,4311231547115195.0,9897173.814061131,183.42004420052058,125573258435.24063
20,6,g_6,0.14733545956944027,1.0,-2.5882464792956608,1.2356365571362238,170.9615023303704,15.135358099793255,128.41105017273622,Converged,28.032372080179243,14.751515085568116,11871181.593745295,29722781.050060153,5241.476335570724,3944286.1627175105,857.5881111738564,26645048.802333415,3399309.177233368,147.61851550114767
21,7,g_4,25.83338678783264,1.0,-3.049563520832029,-7.440035502822191,131.89099195342493,-9.872445142566438,130.86061019175676,Converged,22.563949751676162,-14.955100628415606,26552121.66085099,4290217401.8168845,2077010777.0405161,9041327.865010574,389963506.90559983,97.20501690998006,291.7446714292836,4674973.38368101
22,7,g_5,65.24997544904774,1.0,-3.8788446280784514,-1.821633457058164,192.56569869787756,-4.8764413753687865,123.07641225092524,Converged,23.684148141262085,-12.954187066404605,3178332994.813418,11954.352913241348,1308677075.1176238,891.2995524354277,829147449.8251885,1768.113409619886,209.72509820163472,3719.6224957013105
23,7,g_6,0.08551314521350688,1.0,-2.320337820342888,2.2445993505680515,186.79399094808744,-15.202488818709597,128.3986188610256,Converged,16.40499638695192,-15.494915126030786,46511.08662278103,35615351140.58,4379.464071835573,1201282322.910235,914.5811067744934,3781936383.450384,301045007.535097,195.3297661009793
24,8,g_4,60.19549589774813,1.0,-3.511537153628465,-4.893655479200546,187.18796801810134,-6.089324289914319,133.8991065916966,Converged,40.70303082308777,-13.847899925799306,4339.253057779375,5205.77735488638,606832354.9584562,1582.577610793024,88253319.09447517,227.92461196766834,12328008.003440157,16224808.1368957
25,8,g_5,2.7140097004217987,1.0,-2.316584897927287,-2.8571546017900222,160.11941383189483,15.689852976312537,123.87106410852374,Converged,13.358040553743649,14.042427803376965,14384713016692.885,8362.54825155941,25578391382395.246,586.3064610285676,71459849860769.02,114241882.88693394,180.8143341631,1133597014.8666117
26,8,g_6,8.700348680076525,1.0,-2.5079017032946025,1.1743668101809233,177.80573981881858,11.294685457677517,128.7107318949518,Converged,10.371104958847155,14.244320804644413,68672158.60062148,307323603.4991232,8051.550617275913,54819203.12757961,871.0927677637704,974370568.9437194,13345374.502653688,117.50853441994455
27,9,g_4,0.016123062262226158,1.0,-2.371759741880617,-7.38173743729105,123.06313656986106,-15.147236024279401,131.46703635251745,Converged,18.260851149379434,-15.020259403351664,476052403.60225105,25113552384.624805,12382435732.354315,49524876.09379869,3357571901.4297295,87.24556758221131,294.68932759381585,5237848.907505977
28,9,g_5,6.849602206018654,1.0,-2.6341468438062643,-2.833237426408351,158.77630963665752,12.38109067216835,123.54229789677683,Converged,22.905569255809183,14.998265142091716,20244350276488.523,8198.490753776106,29826966789753.668,604.4310628841057,107753817620542.56,565050966.4158679,178.33729345235403,585528588.2993205
