,row,output,mse,is_alpha_credible,log_lik,c_mean,c_var,post_mean,cost,status,post_var,y_test,ls_dim_1,ls_dim_2,ls_dim_3,ls_dim_4,ls_dim_5,ls_dim_6,ls_dim_7,ls_dim_8
0,0,f_1,0.6545147767240291,1.0,-1.2355400938469647,120.95031549419332,47583.53500611499,93.99107779478186,83.3525425681944,Converged,0.9362333916360512,94.80009867011452,0.22474893409195945,4311231547115195.0,4311231547115195.0,865.9713136031859,4311231547115195.0,748.0292005167665,3739.0301213455746,36934.49802122418
1,1,f_1,10.543017439902638,1.0,-2.6039646295423005,115.46380548569982,44518.59110539691,129.9452999059224,82.01696889498602,Converged,12.569590236744261,133.19230120556838,0.22192762529351587,4311231547115195.0,4311231547115195.0,879.7693302240338,4311231547115195.0,790.4568871822056,3457.837741629597,32434.529449422218
2,2,f_1,1.5418686161217614,1.0,-1.635854262998433,130.95060145594812,50540.31168233769,79.26096239209778,82.97363459436272,Converged,1.4804887977079488,78.01924236885512,0.23575301020444284,4311231547115195.0,4311231547115195.0,895.837116694879,4311231547115195.0,717.6404526590675,3893.6747963125304,36243.876608923325
3,3,f_1,0.0006346660252868774,1.0,-2.5576226131322626,135.56644888883648,53246.00302020108,28.76808953024056,81.96641428631787,Converged,26.50528679972922,28.793282109014612,0.23032700359510366,4311231547115195.0,4311231547115195.0,876.8985486650182,4311231547115195.0,804.1336854398464,4009.242043730339,32890.74093032847
4,4,f_1,2.656221564187598,1.0,-2.6095451759934427,132.55866266254566,57389.138768890574,19.07031120490251,81.90600996316917,Converged,26.613126909978746,20.700103082470807,0.23298043816101385,4311231547115195.0,4311231547115195.0,918.9426192859371,4311231547115195.0,818.8806298591996,4094.180828327315,34462.32107917175
5,5,f_1,227.05484881169468,0.0,-5.0534906731242515,100.20374476196139,29455.354327310622,170.8889018032578,80.07716045159734,Converged,52.76304317422182,185.95724108838456,0.18438273040414638,4311231547115195.0,4311231547115195.0,818.4164055026912,4311231547115195.0,834.7611459483456,3490.852516810455,26586.874790902664
6,6,f_1,0.584364477426248,1.0,-1.6135214461484093,132.50669749573603,51085.13429354137,35.861803577356795,82.92523794308758,Converged,3.373471547733061,35.09736621731593,0.2255648307719411,4311231547115195.0,4311231547115195.0,861.5515715647022,4311231547115195.0,785.372762602851,3962.1666199362166,35294.673776916796
7,7,f_1,3.786540983492498,1.0,-2.4088821181780684,152.7126510861225,63926.09637988396,89.64135759249882,82.12745480403808,Converged,15.392657247801253,91.58726123438156,0.24201641213602393,4311231547115195.0,4311231547115195.0,943.5814784395401,4311231547115195.0,887.3741629098444,4187.451729966833,33171.214272368336
8,8,f_1,5.25806495930306,1.0,-2.4761979033709522,147.36093687723428,48263.13171773452,36.522239333058906,82.07891906228069,Converged,16.318604455824243,34.22919224254745,0.22881254266126655,4311231547115195.0,4311231547115195.0,860.5553652702382,4311231547115195.0,766.263836929001,3691.0775839955986,34038.26478139174
9,9,f_1,0.7781480821117213,1.0,-2.2490566997105885,134.27031439996608,54137.67310120497,24.971399382649906,82.28233525601537,Converged,13.498654143426393,24.08927236112085,0.23130665949460086,4311231547115195.0,4311231547115195.0,902.9309299152658,4311231547115195.0,809.3798543776975,3853.453880651384,34651.91628468885
